name tau_cent tau_cent_err_low tau_cent_err_high M_Mo M_Mo_err_low M_Mo_err_high
HAlpha 3.2364 0.6292 0.9784 1.1006 0.3507 0.5724
HBeta 2.2642 0.2588 0.9807 0.9398 0.2015 0.5684
HGamma 1.7353 0.4127 0.2259 0.9047 0.3184 0.2833
HDelta 1.7297 0.3716 0.4056 1.4552 0.4485 0.5682
HeI5875 3.2810 0.4302 0.6657 1.8006 0.4646 0.7067
HeII4685 0.7422 0.2759 0.1205 0.9298 0.3841 0.2246
LyAlpha_not_optical_calibrated 1.0068 0.1556 0.3912 0.7376 0.1543 0.3550
OI8446 4.9762 1.6686 2.0634 2.5249 1.1814 1.8385
